parity_id,domain,legacy_area,legacy_endpoint_or_screen,role,priority,legacy_behavior_summary,input_contract,output_contract,side_effects,auth_required,data_entities,status,owner,notes
PM-0014,utility,content-generator-forms,/vk_course/generate|vk_mcq/generate|vk_quiz/generate,content_team,P2,Prompt style generator utilities render simple forms and generated content,POST prompt and form text fields,HTML generated output pages,No core transactional side effect,public_or_manual_use,generated_content_temp,decommissioned_phase15,migration,Controllers VK_Course VK_mcq VK_quiz and Course alias Retired in Phase15 decommission plan.
PM-0015,api-home,student-home-dashboard,/api/home/index,mobile_student,P0,Aggregates banners courses tasks schedules progress and learning KPIs for app home,GET auth_token with optional current context,JSON data bundle with userdata courses tasks schedules and progress cards,Reads many domains and marks nothing unless nested calls invoked,jwt_auth_token_required,users+course+enrol+cohort+live_class+assignment+event+exam+video_progress,decommissioned_phase15,migration,Controller Api/Home index Retired in Phase15 decommission plan.
PM-0016,api-home,short-videos,/api/home/view_all_shorts,mobile_student,P1,Returns latest trending and popular short video streams with resolved file URLs,GET auth_token,JSON grouped latest trending popular arrays,Read only media listing,jwt_auth_token_required,short_videos,decommissioned_phase15,migration,Controller Api/Home view_all_shorts Retired in Phase15 decommission plan.
PM-0017,api-home,notifications,/api/home/get_notification|get_notification_list|mark_notification_as_read|save_notification_token,mobile_student,P0,Fetches notifications and records read state and device push token,GET notification_id or notification_token,JSON list and mutation acknowledgement,Inserts notification_read and updates users.notification_token,jwt_auth_token_required,notification+notification_read+users,migrated_phase09,migration,Node parity completed in Phase 09 with read-state and token persistence tests
PM-0018,api-catalog,categories,/api/category/index|get_category_details,mobile_student,P0,Lists categories and category details with courses ratings and enroll counts,GET category_id for details,JSON category arrays and nested course metadata,Read only aggregation,jwt_optional_for_index_public_endpoint_exists,category+course+enrol+review,migrated_phase06,migration,api/category/index is public in auth allowlist
PM-0019,api-catalog,banners,/api/banner/index,mobile_student,P1,Returns banner records for app display,GET auth_token,JSON banner list,Read only,jwt_auth_token_required,banner,decommissioned_phase15,migration,Controller Api/Banner Retired in Phase15 decommission plan.
PM-0020,api-catalog,course-catalog-and-details,/api/course/all_course|get_course_details,mobile_student,P0,Lists courses and full detail including subjects demos reviews instructor and purchase flags,GET course_id for detail,JSON course detail bundle with rating and contact info,Read aggregation and derives media URLs,jwt_auth_token_required,course+subject+demo_video+review+review_like+users+payment+enrol,migrated_phase06,migration,Controller Api/Course
PM-0021,api-catalog,enrol-and-switch-course,/api/course/enrol_course|enrolled_courses|switch_course,mobile_student,P0,Enrolls user to course lists enrolled set and updates active primary course,GET course_id,JSON status and course arrays,Creates enrol rows and updates users.course_id,jwt_auth_token_required,enrol+users+course,decommissioned_phase15,migration,Controller Api/Course Retired in Phase15 decommission plan.
PM-0022,api-learning,subjects-and-lessons-sequencing,/api/course/get_subjects|get_lessons,mobile_student,P0,Returns subjects with lock state and lessons with sequential unlock logic and file locks,GET course_id or subject_id,JSON subject list and lesson tree with progress lock flags and messages,Reads progress tables and computes lock state,jwt_auth_token_required,subject+lesson+lesson_files+cohort_students+video_progress,migrated_phase06,migration,Master subject mapping and cohort lock logic retained
PM-0023,api-learning,my-learning-and-course-details,/api/course/my_learning|my_course|my_course_details,mobile_student,P0,Provides user centric learning overview for enrolled courses counts completion and live links,GET optional course_id,JSON userdata and course progression payload,Read heavy aggregation with practice link generation,jwt_auth_token_required,users+enrol+course+subject+lesson+live_class+payment,decommissioned_phase15,migration,Controller Api/Course Retired in Phase15 decommission plan.
PM-0024,api-learning,analytics-and-performance,/api/course/analytics|overall_performance|active_course|completed_course,mobile_student,P1,Builds performance analytics per course and splits active completed lists,GET optional course_id,JSON course performance arrays,Read only aggregation,jwt_auth_token_required,course+enrol+performance_metrics,decommissioned_phase15,migration,Controller Api/Course analytics methods Retired in Phase15 decommission plan.
PM-0025,api-learning,course-feedback,/api/course/add_feedback,mobile_student,P1,Submits one feedback record per user for active course,GET rating and review,JSON success or already exist,Inserts review row for course,jwt_auth_token_required,review+course+users,decommissioned_phase15,migration,Uses active users.course_id instead of explicit course_id Retired in Phase15 decommission plan.
PM-0026,api-learning,lesson-basic-list,/api/lesson/index,mobile_student,P1,Legacy simple lesson listing by subject with purchase state decoration,GET subject_id,JSON lesson array,Read only,jwt_auth_token_required,lesson+payment,migrated_phase06,migration,Controller Api/Lesson kept for backward compatibility
PM-0027,api-learning,lesson-file-grouped-index,/api/lesson_file/index,mobile_student,P0,Builds lesson file graph anchored on videos with related files grouped under parent_file_id,GET lesson_id,JSON list of video items with related_files arrays,Read only,jwt_auth_token_required,lesson_files+video_progress,migrated_phase06,migration,Controller Api/Lesson_file index
PM-0028,api-learning,lesson-video-and-material-lists,/api/lesson_file/videos|materials,mobile_student,P0,Returns filtered video or material lists by lesson subject or course scope,GET lesson_id or subject_id or course_id,JSON video_list or material_list payloads,Read only,jwt_auth_token_required,lesson_files+lesson,migrated_phase06,migration,Uses Getget accessor pattern in legacy code
PM-0029,api-learning,lesson-progress-and-streak,/api/lesson_file/save_video_progress|save_material_progress|streak_data,mobile_student,P0,Saves playback and material progress then returns streak window analytics,GET lesson_file_id course_id progress duration from_date to_date,JSON progress acknowledgements and streak arrays,Writes video_progress_status and material progress tracking,jwt_auth_token_required,video_progress+material_progress+course,migrated_phase06,migration,State changing operations currently use GET
PM-0030,api-learning,lesson-report-submission,/api/lesson_file/submit_report,mobile_student,P1,Uploads report file once per lesson_file and stores moderation record,POST lesson_file_id plus optional report_file upload,JSON success already-submitted or error,Stores uploaded file metadata and lesson_files_report row,jwt_auth_token_required,lesson_files_report+file_store,decommissioned_phase15,migration,Controller Api/Lesson_file submit_report Retired in Phase15 decommission plan.
PM-0031,api-assessment,assignment-listing,/api/assignment/index,mobile_student,P0,Fetches assignments grouped into current upcoming completed across one or many cohorts,GET subject_id and optional cohort_id,JSON grouped assignment arrays,Read aggregation and status classification,jwt_auth_token_required,assignment+cohort_students+subject,migrated_phase07,migration,Node parity route shipped in Phase07
PM-0032,api-assessment,assignment-details,/api/assignment/get_assignment_details,mobile_student,P0,Returns detailed assignment payload for single assignment id,GET assignment_id,JSON success or event style error payload,Read only,jwt_auth_token_required,assignment,migrated_phase07,migration,Node parity includes details plus evaluation endpoint in Phase07
PM-0033,api-assessment,assignment-submission,/api/assignment/submit_assignment,mobile_student,P0,Uploads assignment answer files once then notifies learner and instructor by email,POST assignment_id and answer_file[] multipart,JSON status payload,Creates assignment_submissions row stores files and sends two emails,jwt_auth_token_required,assignment_submissions+assignment+users+file_store,migrated_phase07,migration,Submission side effects and duplicate guard covered by Phase07 tests
PM-0034,api-assessment,saved-assignment-toggle,/api/assignment/save_assignment,mobile_student,P1,Toggles saved assignment bookmark per learner,GET assignment_id,JSON status string payload,Inserts or deletes saved_assignments rows,jwt_auth_token_required,saved_assignments,migrated_phase07,migration,Save or unsave parity shipped in Phase07
PM-0035,api-live,live-class-listing,/api/live_class/index|live_classes_all|all_live_class|get_liveclass,mobile_student,P0,Returns live now upcoming expired classes with cohort and master subject mapping logic,GET optional subject_id or subect_id typo key,JSON grouped live class arrays,Read aggregation and status classification,jwt_auth_token_required,live_class+cohort_students+subject,decommissioned_phase15,migration,Legacy request key uses subect_id typo in index Retired in Phase15 decommission plan.
PM-0036,api-live,live-class-jwt-token,/api/live_class/generate_jwt_token,mobile_student,P0,Generates Zoom SDK JWT token server side from configured keys and meeting number,GET meeting_number and optional role,JSON jwt_token payload or error,Signs JWT with zoom secret and no DB write,jwt_auth_token_required,zoom_config,decommissioned_phase15,migration,Phase00 moved secret use server side Retired in Phase15 decommission plan.
PM-0037,api-assessment,exams-and-calendar,/api/exams/index|exam_calendar,mobile_student,P0,Lists exams as upcoming or expired and returns calendar projection,GET optional course_id subject_id lesson_id,JSON exam arrays and calendar structure,Read only,jwt_auth_token_required,exam+exam_attempt+question_bank,migrated_phase07,migration,Node parity shipped with exam quiz and practice scoring routes
PM-0038,api-engagement,events,/api/events/index|get_event_details|register_event|add_feedback,mobile_student,P1,Surfaces event lifecycle and registration with optional feedback rating,GET filter or event_id and POST registration fields,JSON grouped status arrays and detail payloads,Inserts event_registration and review rows,jwt_auth_token_required,event+event_registration+review,migrated_phase09,migration,Node parity completed in Phase 09 including registration duplicate guard and feedback behavior
PM-0039,api-engagement,feed,/api/feed/index|feed_watched|feed_like|add_feed_comment|feed_comments,mobile_student,P1,Loads social feed and supports watch like comment interactions,GET feed_id and comment params,JSON feed objects and comment lists,Inserts or deletes feed_like and feed_watched and feed_comments,jwt_auth_token_required,feed+feed_like+feed_watched+feed_comments+users,migrated_phase09,migration,Node parity completed in Phase 09 with feed interaction side-effect tests
PM-0040,api-engagement,my-task,/api/my_task/index,mobile_student,P1,Returns date based scheduled and overdue live classes and assignments for learner cohort,GET date yyyy-mm-dd,JSON cohort scheduled and overdue payloads,Read aggregation,jwt_auth_token_required,cohort_students+live_class+assignment,migrated_phase09,migration,Node parity completed in Phase 09 with cohort schedule aggregation coverage
PM-0041,api-commerce,packages,/api/packages/index,mobile_student,P0,Lists active packages by course and active date window with branding logo,GET optional course_id,JSON packages payload,Read only,jwt_auth_token_required,package+course,migrated_phase08,migration,Controller Api/Packages
PM-0042,api-commerce,payment-link-generation,/api/payment/generate_payment,mobile_student,P0,Builds payment URL payload for external gateway using package subject selection and expiry date,GET package_id and subjects json list,JSON url string in data field,Computes discounted amount and no local payment write,jwt_auth_token_required,package+subject_package+users,migrated_phase08,migration,Controller Api/Payment generate_payment
PM-0043,api-commerce,razorpay-order-flow,/api/payment/create_order|complete_order,mobile_student,P0,Creates payment order then verifies completion with ownership and signature checks,GET course_id receipt currency and razorpay ids,JSON status message data envelope,Creates payment order and completes enrollment side effects,jwt_auth_token_required,payment+enrol+course+users,migrated_phase08,migration,Phase00 added strict order user course binding
PM-0044,api-commerce,coupon-validation,/api/payment/apply_coupon,mobile_student,P0,Validates coupon for selected course and package and returns revised plan data,GET course_id package_id coupon_code,JSON response from coupon model with status,Read validation only,jwt_auth_token_required,coupon_code+package+course,migrated_phase08,migration,Controller Api/Payment apply_coupon
PM-0045,api-commerce,student-fee-and-installments,/api/payment/get_student_courses|get_payment_details,mobile_student,P0,Returns installment breakdown amount paid balance percentage and overdue status,GET optional course_id,JSON payment ledger and installment arrays,Read aggregation of enrol and payment schedules,jwt_auth_token_required,enrol+payment+student_fee+course,migrated_phase08,migration,Controller Api/Payment
PM-0046,api-profile,profile-view-update,/api/profile/index|update,mobile_student,P0,Returns user profile and updates basic identity contact academic year and photo,GET auth_token and POST name phone code email academic_year image,JSON success envelope and refreshed profile on separate read,Updates users record and uploads profile picture,jwt_auth_token_required,users+file_store,migrated_phase12,migration,Node profile route parity consumed by React /student/profile in Phase12
PM-0047,api-profile,profile-image-password,/api/profile/update_user_image|change_password,mobile_student,P0,Handles dedicated image upload and password change with confirmation check,POST image or password confirm_password,JSON success or mismatch error,Updates users.image or users.password hash,jwt_auth_token_required,users+file_store,migrated_phase12,migration,Node profile image and password parity consumed by React /student/profile in Phase12
PM-0048,api-engagement,reviews,/api/review/add_review|get_user_review|like_review,mobile_student,P1,Creates or updates course review and toggles like state,GET course_id rating review or review_id,JSON success and review object payload,Inserts or updates review and review_like rows,jwt_auth_token_required,review+review_like,migrated_phase09,migration,Node parity completed in Phase 09 with add-get-like toggle regression tests
PM-0049,api-engagement,wellness-rating,/api/user/wellness_categories|add_wellness_rating,mobile_student,P1,Returns wellness categories and stores per category rating snapshots,GET wellness_category_id and rating,JSON category and rating payload,Inserts or updates user_wellness_rating rows,jwt_auth_token_required,wellness_category+user_wellness_rating,decommissioned_phase15,migration,Controller Api/User Retired in Phase15 decommission plan.
PM-0050,api-engagement,user-goals,/api/user_goals/*,mobile_student,P1,Habit goal tracking create update delete mark single and bulk completion with progress stats,GET goal fields and goal_ids JSON array,JSON status and goal detail payloads,Writes user_goals and user_goals_activity rows,jwt_auth_token_required,habit_category+user_goals+user_goals_activity,decommissioned_phase15,migration,Controller Api/User_goals Retired in Phase15 decommission plan.
PM-0051,api-engagement,ai-chat,/api/ai_features/ai_chat_messages|ai_send_message,mobile_student,P1,Stores chat history in cache and proxies prompts to OpenAI service,GET auth_token and POST message,JSON assistant_message and chat_history,Reads and writes cache and calls OpenAI external API,jwt_auth_token_required,ai_chat_cache+openai,decommissioned_phase15,migration,Controller Api/Ai_features Retired in Phase15 decommission plan.
PM-0052,app-student,dashboard-screen,/app/dashboard/index,student,P1,Student web dashboard shows enrolled courses and assignment counts with links,Session user_id context,HTML App/index with page_name Dashboard/index,Read only dashboard aggregation,session_required role_id_2_expected,course+enrol+assignment_submissions,migrated_phase12,migration,React /student/dashboard parity delivered in Phase12
PM-0053,app-student,course-screens,/app/all_course/index|app/course/*|app/my_course/index|app/my_subjects/index,student,P1,Web course screens render my course lists enrolled courses and course switching views,GET route params course_id subject_id,HTML App/index pages,Updates active course in switch path and reads enrollment,session_required role_id_2_expected,course+enrol+subject+users,migrated_phase12,migration,React /student/learning course and subject navigation parity delivered in Phase12
PM-0054,app-student,subject-lesson-material-screens,/app/subject/*|app/lessons/*|app/materials/*|app/details/index|app/document/index,student,P1,Renders subject lesson and materials navigation and file views,GET course_id subject_id lesson_id,HTML App/index pages with nested partials,Mostly read and tracks progress via API endpoints,session_required role_id_2_expected,subject+lesson+lesson_files,migrated_phase12,migration,React /student/learning lesson file and progress parity delivered in Phase12
PM-0055,app-student,live-class-screens,/app/live/*|app/live_class/index,student,P1,Renders live class calendar meeting launch and signature generation endpoints,GET live identifiers and meeting fields,HTML App/index plus JSON signature for meeting path,Generates live meeting signatures and logs view state,session_required role_id_2_expected,live_class+users,decommissioned_phase15,migration,Live class pages remain outside explicit Phase12 scope Retired in Phase15 decommission plan.
PM-0056,app-student,assessment-screens,/app/assignment/*|app/exams/*|app/practice/index,student,P1,Web assessment pages list assignments exam calendar exam detail and practice links,GET assignment_id exam_id subject filters,HTML App/index pages,Submission and attempts handled by API and public controllers,session_required role_id_2_expected,assignment+exam+quiz,migrated_phase12,migration,React /student/assessments parity delivered in Phase12
PM-0057,app-student,events-and-calendar-screens,/app/events/*|app/calendar/*,student,P1,Web events list detail and calendar widgets for student planning,GET event filters and date context,HTML App/index pages,Read mostly with event registration via API,session_required role_id_2_expected,event,decommissioned_phase15,migration,Events and calendar pages remain outside explicit Phase12 scope Retired in Phase15 decommission plan.
PM-0058,app-student,plans-and-payment-screens,/app/plans/*|app/payment/index,student,P1,Web package plan chooser and payment initiation pages,GET package_id course_id and payment args,HTML App/index and redirect to payment flow URL,May trigger payment link generation and enrol updates downstream,session_required role_id_2_expected,package+payment+course,migrated_phase12,migration,React /student/payments parity delivered in Phase12
PM-0059,app-student,engagement-screens,/app/feed/index|app/notifications/index,student,P1,Feed and notification web shells for student engagement,GET auth session only,HTML App/index pages with async data load,Read and mark interactions via API,session_required role_id_2_expected,feed+notification,migrated_phase12,migration,React /student/notifications parity delivered in Phase12 and feed view stayed out of scope
PM-0060,app-student,profile-and-progress-screens,/app/profile/*|app/progress/index,student,P1,Profile edit and progress pages for student account tracking,GET and POST profile fields,HTML App/index pages with form submissions,Updates users profile and password where invoked,session_required role_id_2_expected,users+progress,migrated_phase12,migration,React /student/profile and progress metrics parity delivered in Phase12
PM-0061,app-student,support-screen,/app/support/*,student,P1,Student support chat screen loads messages and submits chat entries,GET and POST message text,HTML App/index and JSON fragments,Inserts support_chat messages,session_required role_id_2_expected,support_chat+users,migrated_phase12,migration,React /student/support parity delivered in Phase12
PM-0062,app-student,google-login-success,/app/home/login_success,student,P2,Legacy Google callback in App namespace can create role 2 users and open session,OAuth code query parameter,Redirect to desk_time path or login,Creates users row for gmail domain if absent,public_oauth_callback,users+role,decommissioned_phase15,migration,Controller App/Home stored under Admin folder path anomaly Retired in Phase15 decommission plan.
PM-0063,centre,centre-dashboard,/centre/dashboard/index,centre_user,P0,Centre dashboard aggregates student counts wallet cohorts and pending applications,Session user_id with centre_id lookup,HTML Centre/index dashboard page,Read aggregation only,session_expected_role_7_not_strictly_enforced,users+centres+cohorts+applications,migrated_phase13,migration,React /centre/dashboard parity delivered in Phase13 using Node /api/centre/dashboard/index
PM-0064,centre,applications-pipeline,/centre/applications/*,centre_user,P0,Centre manages lead applications conversion enrolment docs and pipeline assignment,GET and POST applicant fields qualification docs and course mapping,HTML Centre/index with ajax partial views,Creates and updates application user enrol and document records,session_expected_role_7_not_strictly_enforced,applications+users+qualification+student_document+enrol,migrated_phase13,migration,React /centre/applications parity delivered in Phase13 with conversion workflow e2e coverage
PM-0065,centre,students-management,/centre/students/*,centre_user,P0,Centre CRUD for students enrolments password and document operations scoped to centre,GET and POST student profile enrol and document payloads,HTML Centre/index with ajax modal responses,Creates and updates users enrol payment and document rows,session_expected_role_7_not_strictly_enforced,users+enrol+payment+student_document,migrated_phase13,migration,React /centre/students parity delivered in Phase13 with cohort assignment and student add e2e coverage
PM-0066,centre,course-plan-view,/centre/courses/index,centre_user,P1,Displays centre assigned courses and plans for operations,Session centre context,HTML Centre/index page,Read only,session_expected_role_7_not_strictly_enforced,centre_course_plans+course,migrated_phase13,migration,React /centre/courses parity delivered in Phase13 using Node /api/centre/courses/index
PM-0067,centre,cohort-management,/centre/cohorts/*,centre_user,P0,Centre cohort lifecycle includes create edit learners announcements assignments and live links,GET and POST cohort and assignment fields,HTML Centre/index with ajax partials,Creates cohort live_class assignment and announcement rows,session_expected_role_7_not_strictly_enforced,cohorts+cohort_students+assignment+live_class+cohort_announcements,migrated_phase13,migration,React /centre/cohorts parity delivered in Phase13 with create and assignment workflows e2e covered
PM-0068,centre,live-class-ops,/centre/live_class/*,centre_user,P0,Centre live class CRUD bulk upload and instructor mappings plus zoom history,GET and POST class schedule and provider fields,HTML Centre/index with ajax modal payloads,Creates and updates live_class and zoom_history rows,session_expected_role_7_not_strictly_enforced,live_class+zoom_history+cohort_students,migrated_phase13,migration,React /centre/live parity delivered in Phase13 with live class creation e2e coverage
PM-0069,centre,resources-and-files,/centre/resources/* and /centre/filemanager/*,centre_user,P1,Centre resource library manages folders files previews and optional file manager chat bridge,GET and POST folder file actions and uploads,HTML Centre/index with ajax previews,Creates and deletes folder and file metadata plus uploads,session_expected_role_7_not_strictly_enforced,folder+file+centres,migrated_phase13,migration,React /centre/resources parity delivered in Phase13 with folder and file upload workflows e2e covered
PM-0070,centre,wallet-and-fund-requests,/centre/wallet/*,centre_user,P0,Centre wallet shows transactions raises fund requests and extends plans with receipt uploads,GET and POST payment extension and fund request fields,HTML Centre/index and statement downloads,Creates fund request and payment extension records and uploads attachments,session_expected_role_7_not_strictly_enforced,wallet_transactions+centre_fundrequests+payment,migrated_phase13,migration,Phase13 added Node wallet routes and parity tables then delivered React /centre/wallet fund request flow
PM-0071,centre,support-and-training,/centre/support/*|centre/chat_support/*|centre/training_videos/index,centre_user,P1,Centre support chat plus training video listing for operators,GET and POST support message fields,HTML Centre/index pages,Inserts support_chat records,session_expected_role_7_not_strictly_enforced,support_chat+training_videos,migrated_phase13,migration,Phase13 added Node support and training routes and delivered React /centre/support messaging and training parity
PM-0072,admin,admin-dashboard,/admin/dashboard/index,admin_subadmin_instructor_counsellor_associate,P0,Admin dashboard serves KPI widgets and role specific counsellor associate target dashboards,Session user with role_id branch logic,HTML Admin/index dashboard page,Read aggregation of users content commerce and targets,session_required_role_gate_mostly_runtime,users+course+enrol+payment+targets,migrated_phase14,migration,Phase14 React /admin/dashboard parity delivered with KPI snapshots and recent operational activity widgets
PM-0073,admin,rbac-user-admin-account,/admin/admin/*|admin/account/*|admin/user_role/*|admin/sub_admin/*,admin_and_subadmin,P1,Backoffice account and role CRUD for staff users and sub admin password resets,GET and POST user role and credential fields,HTML Admin/index with ajax modals,Creates and updates users and user_role rows,session_required_role_gate_mostly_runtime,users+user_role,decommissioned_phase15,migration,Controllers Admin Admin Account User_role Sub_admin remain deferred after Phase14 and are retired in Phase15 decommission plan
PM-0074,admin,admin-profile,/admin/profile/*,admin_and_staff,P1,Allows logged in admin staff profile edits and password reset,GET and POST profile fields and password values,HTML Admin/index forms,Updates users profile and password hash,session_required_role_gate_mostly_runtime,users,decommissioned_phase15,migration,Controller Admin/Profile remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0075,admin,staff-channel-management,/admin/instructor/*|admin/counsellor/*|admin/associates/*,admin_ops,P0,Manages instructor counsellor associate lifecycle assignments enrol links and performance views,GET and POST staff records and mapping forms,HTML Admin/index with ajax flows,Creates and updates users mapping tables and status flags,session_required_role_gate_mostly_runtime,users+instructor_enrol+consultant_universities,decommissioned_phase15,migration,Instructor Counsellor Associates controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0076,admin,target-management,/admin/counsellor_target/*|admin/associates_target/*,admin_ops,P1,Maintains monthly or date ranged targets for counsellor and associate users,POST target value from_date to_date and user mapping,HTML Admin/index list and forms,Creates and updates target rows,session_required_role_gate_mostly_runtime,counsellor_target+associates_target,decommissioned_phase15,migration,Counsellor_target and Associates_target controllers remain deferred after Phase14 and are retired in Phase15 decommission plan
PM-0077,admin,centre-management,/admin/centres/*,admin_ops,P0,Centre CRUD with course assignment staff assignment wallet fund status and plan mapping,GET and POST centre profile and plan fields and docs,HTML Admin/index with ajax modals,Creates and updates centres fund requests wallet and course plan rows,session_required_role_gate_mostly_runtime,centres+centre_course_plans+wallet_transactions+centre_fundrequests,migrated_phase14,migration,Phase14 React /admin/users delivered centre onboarding and plan assignment workflows on top of admin centres APIs
PM-0078,admin,student-and-application-management,/admin/students/*|admin/applications/*,admin_ops,P0,Handles student lifecycle and application conversion with docs enrol and verification actions,GET and POST student and application forms plus documents,HTML Admin/index plus ajax detail views,Creates users applications enrol documents and payment linkage,session_required_role_gate_mostly_runtime,users+applications+enrol+student_document+payment,migrated_phase14,migration,Phase14 React /admin/users delivered student and application pipeline visibility plus conversion workflow parity
PM-0079,admin,enrol-and-fee-ledger,/admin/enrol/*|admin/student_fee/*|admin/course_fee/*|admin/fee_management/*,admin_finance,P0,Enrollment and fee management including installments payment status and user fee lookup,GET and POST enrolment and installment fields,HTML Admin/index pages and ajax forms,Writes enrol and installment and student_fee records,session_required_role_gate_mostly_runtime,enrol+student_fee+installment+course,decommissioned_phase15,migration,Enrol Student_fee Course_fee Fee_management controller family remains deferred after Phase14 and is retired in Phase15 decommission plan
PM-0080,admin,catalog-category-course,/admin/category/*|admin/course/*|admin/course_new/*,admin_content,P0,Course catalog and metadata CRUD with faq batch mapping elective logic and status toggles,GET and POST category and course payloads,HTML Admin/index and ajax modals,Creates and updates category course faq batch mappings and enrol joins,session_required_role_gate_mostly_runtime,category+course+faq+batch,migrated_phase14,migration,Phase14 React /admin/content delivered course catalog list parity through shared course APIs and admin content navigation
PM-0081,admin,subject-topic-lesson,/admin/subject/*|admin/topic/*|admin/lesson/*,admin_content,P0,Manages subject topic lesson hierarchy including sort order and duplicate subject helpers,GET and POST hierarchy forms and sort payloads,HTML Admin/index and ajax lists,Creates and updates subject topic lesson and order columns,session_required_role_gate_mostly_runtime,subject+topic+lesson,migrated_phase14,migration,Phase14 React /admin/content delivered subject and lesson hierarchy parity using shared hierarchy endpoints
